DERMAGA,JENIS_KAPAL,PALKA,BD,SHIFTING_YARD,WAG,BAD_WEATHER,DELAY
2,1,8,54,30,0,0,0
2,1,6,101,10,0,0,0
3,1,27,0,61,0,0,0
2,1,6,130,18,0,0,0
4,1,40,55,146,0,0,0
4,1,9,0,19,0,0,0
4,0,12,36,102,1,0,0
2,1,5,40,103,0,0,0
3,0,10,11,108,0,0,0
4,1,14,3,18,0,0,0
3,1,19,53,19,0,0,0
2,1,11,14,64,0,0,2
2,1,11,82,46,0,0,0
3,1,16,28,80,1,0,0
1,1,4,3,5,0,0,0
2,1,6,3,9,0,0,0
2,1,13,0,49,1,0,2
4,0,40,3,308,0,0,2
2,1,4,22,7,0,0,0
3,1,7,0,4,0,0,0
4,1,10,8,45,0,0,0
4,1,40,105,351,0,0,0
3,1,6,11,26,0,0,0
4,0,31,9,224,1,0,1
2,0,17,45,50,0,0,0
2,1,13,63,143,1,0,0
3,0,29,34,225,0,0,2
2,1,10,152,116,1,0,2
3,0,22,197,209,0,0,2
4,0,40,50,415,0,0,0
2,1,7,43,21,0,0,0
4,1,8,11,113,1,0,0
2,1,7,0,16,0,0,0
1,1,11,0,108,1,0,1
1,1,10,38,120,0,0,2
3,1,27,11,295,0,0,2
4,1,13,53,31,0,0,0
2,1,9,101,160,1,0,0
1,1,4,39,46,0,0,0
1,0,10,21,52,0,0,0
4,1,29,83,203,1,0,0
3,1,20,144,27,0,0,0
2,1,12,56,71,0,0,0
1,1,8,0,5,1,0,2
2,1,4,152,63,0,0,0
3,1,14,94,77,0,0,0
4,0,40,13,233,0,0,0
3,1,42,215,341,0,0,1
4,1,29,33,242,0,0,0
2,1,11,0,146,0,0,2
3,0,22,182,158,0,0,2
4,0,18,29,199,0,0,0
4,0,40,41,223,0,0,0
1,1,8,209,108,0,0,2
4,0,29,28,230,0,0,2
3,0,7,6,38,0,0,0
1,0,23,0,30,0,0,2
2,0,18,775,165,1,0,1
3,1,29,192,361,0,0,0
1,1,11,20,16,0,0,0
3,0,24,19,16,0,0,0
2,1,6,48,52,1,0,2
1,0,5,0,35,0,0,0
1,1,9,14,64,0,0,2
4,0,40,110,230,0,0,0
4,1,29,212,129,0,0,2
3,0,25,18,166,0,0,2
1,1,5,3,27,0,0,2
2,1,10,49,34,0,0,1
4,1,36,73,200,1,0,1
4,1,29,106,291,1,0,0
4,1,29,52,344,1,0,2
3,0,24,232,357,0,0,2
4,1,18,31,53,0,0,0
3,1,11,103,53,0,0,0
3,1,18,91,54,0,0,0
3,0,20,27,38,0,0,2
4,1,29,42,354,0,0,0
2,1,10,65,72,0,0,0
3,1,12,76,4,1,0,0
4,1,11,0,43,0,0,0
3,1,18,42,22,0,0,0
3,0,27,33,190,0,0,0
4,1,7,0,173,1,0,0
2,1,9,63,130,1,0,0
4,1,8,13,47,0,0,0
4,1,29,4,95,0,0,0
4,0,27,67,353,0,0,0
2,1,5,46,16,0,0,0
4,1,9,14,68,0,0,0
2,1,10,18,173,1,0,0
4,1,40,47,188,0,0,1
3,1,9,5,167,1,0,0
4,1,29,54,249,1,0,0
4,1,15,8,51,0,0,0
4,1,7,0,3,0,0,0
4,0,27,22,219,0,0,2
4,0,24,15,166,0,0,0
4,1,29,161,405,1,0,2
4,0,27,371,362,0,0,0
4,1,11,10,167,1,0,0
2,1,8,6,71,0,0,0
4,0,24,91,96,0,0,1
2,0,18,53,55,0,0,0
4,1,29,146,404,1,0,0
2,1,6,91,7,0,0,0
2,1,16,180,73,0,0,2
4,0,24,50,142,0,0,0
4,1,29,162,198,1,0,2
3,1,8,115,73,0,0,0
2,0,10,64,95,0,0,0
4,0,27,25,213,0,0,0
3,1,6,0,16,0,0,0
3,1,9,0,12,1,0,0
3,1,8,24,64,0,0,0
4,1,29,94,228,0,0,2
2,1,6,36,43,0,0,0
3,1,18,1,3,0,0,0
2,1,7,7,45,0,0,0
3,1,8,0,124,1,0,0
2,1,11,41,117,1,1,0
4,0,29,164,165,0,0,0
1,1,9,47,160,1,1,0
3,1,13,23,132,0,0,0
3,1,20,8,11,0,0,0
3,1,8,27,115,0,0,0
1,1,11,7,134,0,0,0
4,1,11,16,178,0,0,0
1,1,10,9,18,1,0,0
3,0,24,285,293,0,0,0
4,1,13,93,105,0,0,0
3,1,5,17,27,0,0,0
2,1,6,5,23,1,0,0
4,0,27,161,366,0,0,0
3,1,4,5,5,0,0,0
2,1,7,134,36,0,0,0
3,0,14,134,58,0,0,0
4,0,24,24,137,0,0,0
3,1,9,37,113,1,0,0
4,1,13,12,65,0,0,0
4,1,29,273,215,1,0,0
3,1,14,82,104,0,0,2
2,1,10,46,40,0,0,0
4,0,29,19,172,0,0,2
2,1,11,21,78,1,0,0
3,1,13,0,136,0,0,0
4,1,26,88,277,0,0,0
2,1,8,69,39,0,0,1
